"","gender","SeniorCitizen","Partner","Dependents","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","Churn","tenure_category"
"1","Female","No","Yes","No","No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",29.85,"No","Under 1 year"
"2","Male","No","No","No","Yes","No","DSL","Yes","No","Yes","No","No","No","One year","No","Mailed check",56.95,"No","2-4 years"
"3","Male","No","No","No","Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",53.85,"Yes","Under 1 year"
"4","Male","No","No","No","No","No phone service","DSL","Yes","No","Yes","Yes","No","No","One year","No","Bank transfer (automatic)",42.3,"No","2-4 years"
"5","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.7,"Yes","Under 1 year"
"6","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.65,"Yes","Under 1 year"
"7","Male","No","No","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",89.1,"No","1-2 years"
"8","Female","No","No","No","No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",29.75,"No","Under 1 year"
"9","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.8,"Yes","2-4 years"
"10","Male","No","No","Yes","Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)",56.15,"No","Over 5 years "
"11","Male","No","Yes","Yes","Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",49.95,"No","1-2 years"
"12","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",18.95,"No","1-2 years"
"13","Male","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",100.35,"No","4-5 years"
"14","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.7,"Yes","4-5 years"
"15","Male","No","No","No","Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",105.5,"No","2-4 years"
"16","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",113.25,"No","Over 5 years "
"17","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.65,"No","4-5 years"
"18","Male","No","No","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",106.7,"No","Over 5 years "
"19","Female","No","Yes","Yes","Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",55.2,"Yes","Under 1 year"
"20","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",90.05,"No","1-2 years"
"21","Male","Yes","No","No","No","No phone service","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",39.65,"Yes","Under 1 year"
"22","Male","No","Yes","No","Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.8,"No","Under 1 year"
"23","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.15,"Yes","Under 1 year"
"24","Female","No","Yes","No","Yes","Yes","DSL","No","Yes","No","Yes","No","No","Two year","Yes","Credit card (automatic)",59.9,"No","4-5 years"
"25","Male","No","Yes","Yes","Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",59.6,"No","4-5 years"
"26","Female","No","No","No","Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",55.3,"No","2-4 years"
"27","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.35,"Yes","2-4 years"
"28","Male","No","Yes","Yes","No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.2,"Yes","Under 1 year"
"29","Male","No","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",90.25,"No","Over 5 years "
"30","Female","No","No","Yes","Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",64.7,"Yes","1-2 years"
"31","Female","Yes","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",96.35,"No","Over 5 years "
"32","Male","Yes","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",95.5,"No","Under 1 year"
"33","Female","No","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Mailed check",66.15,"No","2-4 years"
"34","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",20.2,"No","Under 1 year"
"35","Male","Yes","No","No","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",45.25,"No","Under 1 year"
"36","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","No","Bank transfer (automatic)",99.9,"No","Over 5 years "
"37","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.7,"Yes","Under 1 year"
"38","Female","No","No","No","Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.8,"No","2-4 years"
"39","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.35,"Yes","2-4 years"
"40","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",97.85,"Yes","Under 1 year"
"41","Male","No","Yes","Yes","Yes","No","DSL","No","Yes","No","No","No","No","One year","No","Mailed check",49.55,"No","Under 1 year"
"42","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Credit card (automatic)",69.2,"No","Over 5 years "
"43","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.75,"No","1-2 years"
"44","Female","No","No","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",79.85,"No","Over 5 years "
"45","Female","No","Yes","No","Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",76.2,"No","1-2 years"
"46","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.5,"No","4-5 years"
"47","Male","No","No","No","Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",49.25,"No","Under 1 year"
"48","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.65,"Yes","Under 1 year"
"49","Male","No","No","No","Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",79.75,"No","4-5 years"
"50","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",64.15,"No","Over 5 years "
"51","Female","Yes","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.25,"No","2-4 years"
"52","Female","No","No","No","Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.1,"Yes","1-2 years"
"53","Female","Yes","Yes","No","Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",69.5,"No","2-4 years"
"54","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",80.65,"Yes","Under 1 year"
"55","Female","Yes","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",74.85,"No","4-5 years"
"56","Male","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,"Yes","1-2 years"
"57","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",99.65,"No","Over 5 years "
"58","Male","Yes","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",108.45,"No","Over 5 years "
"59","Female","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",24.95,"No","2-4 years"
"60","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",107.5,"No","Over 5 years "
"61","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.5,"No","2-4 years"
"62","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.9,"No","4-5 years"
"63","Male","No","Yes","No","No","No phone service","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Bank transfer (automatic)",42.1,"No","Over 5 years "
"64","Female","No","Yes","Yes","Yes","No","DSL","No","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",54.4,"No","1-2 years"
"65","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",94.4,"Yes","Under 1 year"
"66","Female","No","No","No","Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",75.3,"No","Under 1 year"
"67","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","No","No","One year","Yes","Electronic check",78.9,"No","2-4 years"
"68","Female","No","No","No","Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",79.2,"No","2-4 years"
"69","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.15,"No","4-5 years"
"70","Male","No","No","No","Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",79.85,"No","Under 1 year"
"71","Male","No","No","No","Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",49.05,"No","Under 1 year"
"72","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","One year","Yes","Electronic check",20.4,"No","4-5 years"
"73","Male","Yes","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",111.6,"No","Over 5 years "
"74","Male","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",24.25,"No","Over 5 years "
"75","Female","No","No","Yes","Yes","No","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",64.5,"No","Under 1 year"
"76","Female","Yes","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Electronic check",110.5,"No","4-5 years"
"77","Female","No","No","No","Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Credit card (automatic)",55.65,"No","2-4 years"
"78","Female","No","Yes","Yes","Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Mailed check",54.65,"No","Under 1 year"
"79","Male","Yes","No","No","Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",74.75,"No","2-4 years"
"80","Female","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",25.9,"No","2-4 years"
"81","Female","No","No","Yes","Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.35,"Yes","Under 1 year"
"82","Female","No","Yes","Yes","No","No phone service","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",50.55,"No","Under 1 year"
"83","Female","No","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.15,"Yes","Under 1 year"
"84","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.8,"No","2-4 years"
"85","Female","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",20.15,"No","4-5 years"
"86","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.3,"No","Under 1 year"
"87","Female","No","Yes","No","Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Bank transfer (automatic)",62.15,"No","2-4 years"
"88","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.65,"No","2-4 years"
"89","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",19.95,"No","2-4 years"
"90","Male","No","Yes","No","No","No phone service","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",33.75,"No","2-4 years"
"91","Male","No","Yes","Yes","Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",82.05,"No","2-4 years"
"92","Male","Yes","No","No","Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",74.7,"No","Under 1 year"
"93","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",84,"No","Over 5 years "
"94","Female","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",111.05,"No","Over 5 years "
"95","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",100.9,"No","Over 5 years "
"96","Female","No","No","No","Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",78.95,"Yes","Under 1 year"
"97","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",66.85,"No","Over 5 years "
"98","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",21.05,"Yes","Under 1 year"
"99","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",21,"No","4-5 years"
"100","Female","Yes","Yes","No","Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.5,"Yes","2-4 years"
"101","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.2,"No","Under 1 year"
"102","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",19.45,"No","Under 1 year"
"103","Male","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",95,"No","2-4 years"
"104","Female","Yes","Yes","No","No","No phone service","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",45.55,"No","Over 5 years "
"105","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",110,"Yes","Over 5 years "
"106","Male","No","No","No","No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",24.3,"No","Under 1 year"
"107","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",104.15,"No","Over 5 years "
"108","Female","No","No","No","No","No phone service","DSL","Yes","No","No","No","No","No","One year","No","Mailed check",30.15,"No","2-4 years"
"109","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","One year","No","Mailed check",94.35,"No","2-4 years"
"110","Male","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.4,"No","Over 5 years "
"111","Male","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",96.75,"Yes","4-5 years"
"112","Female","No","No","No","Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Credit card (automatic)",57.95,"No","4-5 years"
"113","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",91.65,"No","2-4 years"
"114","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.5,"Yes","2-4 years"
"115","Female","No","Yes","Yes","No","No phone service","DSL","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Electronic check",54.6,"No","Over 5 years "
"116","Male","No","Yes","Yes","Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",89.85,"No","Under 1 year"
"117","Female","No","No","No","No","No phone service","DSL","Yes","No","No","No","No","No","Two year","No","Bank transfer (automatic)",31.05,"No","2-4 years"
"118","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.25,"Yes","Under 1 year"
"119","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",20.65,"No","2-4 years"
"120","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",85.2,"No","2-4 years"
